Problem,Solution
"The square of a number, multiplied by 1, plus 10 times the number, plus 1 equals 0. What is the number?","-9.90, -0.10"
"The square of a number, multiplied by 3, plus 9 times the number, plus 3 equals 0. What is the number?","-2.62, -0.38"
"The square of a number, multiplied by 2, plus 5 times the number, plus 3 equals 0. What is the number?","-1.50, -1.00000000000000"
"The square of a number, multiplied by 1, plus 9 times the number, plus 4 equals 0. What is the number?","-8.53, -0.47"
"The square of a number, multiplied by 2, plus 8 times the number, plus 3 equals 0. What is the number?","-3.58, -0.42"
"The square of a number, multiplied by 4, plus 8 times the number, plus 2 equals 0. What is the number?","-1.71, -0.29"
"The square of a number, multiplied by 3, plus 0 times the number, plus 0 equals 0. What is the number?",0
"The square of a number, multiplied by 2, plus 10 times the number, plus 12 equals 0. What is the number?","-3.00000000000000, -2.00000000000000"
"The square of a number, multiplied by 1, plus 8 times the number, plus 0 equals 0. What is the number?","-8.00000000000000, 0"
"The square of a number, multiplied by 1, plus 8 times the number, plus 5 equals 0. What is the number?","-7.32, -0.68"
"The square of a number, multiplied by 1, plus 9 times the number, plus 16 equals 0. What is the number?","-6.56, -2.44"
"The square of a number, multiplied by 2, plus 10 times the number, plus 7 equals 0. What is the number?","-4.16, -0.84"
"The square of a number, multiplied by 1, plus 10 times the number, plus 0 equals 0. What is the number?","-10.0000000000000, 0"
"The square of a number, multiplied by 4, plus 8 times the number, plus 2 equals 0. What is the number?","-1.71, -0.29"
"The square of a number, multiplied by 1, plus 8 times the number, plus 7 equals 0. What is the number?","-7.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 9 times the number, plus 2 equals 0. What is the number?","-8.77, -0.23"
"The square of a number, multiplied by 1, plus 9 times the number, plus 5 equals 0. What is the number?","-8.41, -0.59"
"The square of a number, multiplied by 1, plus 10 times the number, plus 4 equals 0. What is the number?","-9.58, -0.42"
"The square of a number, multiplied by 4, plus 10 times the number, plus 5 equals 0. What is the number?","-1.81, -0.69"
"The square of a number, multiplied by 4, plus 8 times the number, plus 4 equals 0. What is the number?",-1.00000000000000
"The square of a number, multiplied by 3, plus 3 times the number, plus 0 equals 0. What is the number?","-1.00000000000000, 0"
"The square of a number, multiplied by 1, plus 9 times the number, plus 8 equals 0. What is the number?","-8.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 8 times the number, plus 3 equals 0. What is the number?","-7.61, -0.39"
"The square of a number, multiplied by 2, plus 7 times the number, plus 2 equals 0. What is the number?","-3.19, -0.31"
"The square of a number, multiplied by 1, plus 7 times the number, plus 9 equals 0. What is the number?","-5.30, -1.70"
"The square of a number, multiplied by 3, plus 4 times the number, plus 0 equals 0. What is the number?","-1.33, 0"
"The square of a number, multiplied by 2, plus 7 times the number, plus 0 equals 0. What is the number?","-3.50, 0"
"The square of a number, multiplied by 2, plus 10 times the number, plus 1 equals 0. What is the number?","-4.90, -0.10"
"The square of a number, multiplied by 2, plus 9 times the number, plus 6 equals 0. What is the number?","-3.69, -0.81"
"The square of a number, multiplied by 3, plus 9 times the number, plus 2 equals 0. What is the number?","-2.76, -0.24"
"The square of a number, multiplied by 1, plus 7 times the number, plus 7 equals 0. What is the number?","-5.79, -1.21"
"The square of a number, multiplied by 3, plus 8 times the number, plus 4 equals 0. What is the number?","-2.00000000000000, -0.67"
"The square of a number, multiplied by 2, plus 10 times the number, plus 5 equals 0. What is the number?","-4.44, -0.56"
"The square of a number, multiplied by 5, plus 6 times the number, plus 0 equals 0. What is the number?","-1.20, 0"
"The square of a number, multiplied by 4, plus 7 times the number, plus 2 equals 0. What is the number?","-1.39, -0.36"
"The square of a number, multiplied by 5, plus 9 times the number, plus 1 equals 0. What is the number?","-1.68, -0.12"
"The square of a number, multiplied by 3, plus 7 times the number, plus 2 equals 0. What is the number?","-2.00000000000000, -0.33"
"The square of a number, multiplied by 1, plus 6 times the number, plus 9 equals 0. What is the number?",-3.00000000000000
"The square of a number, multiplied by 1, plus 9 times the number, plus 17 equals 0. What is the number?","-6.30, -2.70"
"The square of a number, multiplied by 3, plus 3 times the number, plus 0 equals 0. What is the number?","-1.00000000000000, 0"
"The square of a number, multiplied by 1, plus 9 times the number, plus 19 equals 0. What is the number?","-5.62, -3.38"
"The square of a number, multiplied by 4, plus 10 times the number, plus 2 equals 0. What is the number?","-2.28, -0.22"
"The square of a number, multiplied by 2, plus 10 times the number, plus 2 equals 0. What is the number?","-4.79, -0.21"
"The square of a number, multiplied by 1, plus 8 times the number, plus 13 equals 0. What is the number?","-5.73, -2.27"
"The square of a number, multiplied by 2, plus 10 times the number, plus 0 equals 0. What is the number?","-5.00000000000000, 0"
"The square of a number, multiplied by 4, plus 10 times the number, plus 5 equals 0. What is the number?","-1.81, -0.69"
"The square of a number, multiplied by 2, plus 9 times the number, plus 9 equals 0. What is the number?","-3.00000000000000, -1.50"
"The square of a number, multiplied by 1, plus 8 times the number, plus 0 equals 0. What is the number?","-8.00000000000000, 0"
"The square of a number, multiplied by 3, plus 6 times the number, plus 3 equals 0. What is the number?",-1.00000000000000
"The square of a number, multiplied by 2, plus 7 times the number, plus 6 equals 0. What is the number?","-2.00000000000000, -1.50"
"The square of a number, multiplied by 1, plus 4 times the number, plus 3 equals 0. What is the number?","-3.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 4 times the number, plus 3 equals 0. What is the number?","-3.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 6 times the number, plus 5 equals 0. What is the number?","-5.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 10 times the number, plus 0 equals 0. What is the number?","-10.0000000000000, 0"
"The square of a number, multiplied by 5, plus 7 times the number, plus 1 equals 0. What is the number?","-1.24, -0.16"
"The square of a number, multiplied by 2, plus 10 times the number, plus 12 equals 0. What is the number?","-3.00000000000000, -2.00000000000000"
"The square of a number, multiplied by 1, plus 8 times the number, plus 5 equals 0. What is the number?","-7.32, -0.68"
"The square of a number, multiplied by 4, plus 8 times the number, plus 3 equals 0. What is the number?","-1.50, -0.50"
"The square of a number, multiplied by 2, plus 10 times the number, plus 8 equals 0. What is the number?","-4.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 5 times the number, plus 4 equals 0. What is the number?","-4.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 2, plus 9 times the number, plus 5 equals 0. What is the number?","-3.85, -0.65"
"The square of a number, multiplied by 1, plus 9 times the number, plus 15 equals 0. What is the number?","-6.79, -2.21"
"The square of a number, multiplied by 1, plus 10 times the number, plus 5 equals 0. What is the number?","-9.47, -0.53"
"The square of a number, multiplied by 2, plus 10 times the number, plus 8 equals 0. What is the number?","-4.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 5, plus 9 times the number, plus 4 equals 0. What is the number?","-1.00000000000000, -0.80"
"The square of a number, multiplied by 4, plus 10 times the number, plus 5 equals 0. What is the number?","-1.81, -0.69"
"The square of a number, multiplied by 4, plus 5 times the number, plus 1 equals 0. What is the number?","-1.00000000000000, -0.25"
"The square of a number, multiplied by 3, plus 10 times the number, plus 7 equals 0. What is the number?","-2.33, -1.00000000000000"
"The square of a number, multiplied by 2, plus 9 times the number, plus 2 equals 0. What is the number?","-4.27, -0.23"
"The square of a number, multiplied by 3, plus 9 times the number, plus 1 equals 0. What is the number?","-2.88, -0.12"
"The square of a number, multiplied by 1, plus 9 times the number, plus 19 equals 0. What is the number?","-5.62, -3.38"
"The square of a number, multiplied by 2, plus 4 times the number, plus 0 equals 0. What is the number?","-2.00000000000000, 0"
"The square of a number, multiplied by 1, plus 6 times the number, plus 8 equals 0. What is the number?","-4.00000000000000, -2.00000000000000"
"The square of a number, multiplied by 1, plus 5 times the number, plus 0 equals 0. What is the number?","-5.00000000000000, 0"
"The square of a number, multiplied by 1, plus 9 times the number, plus 3 equals 0. What is the number?","-8.65, -0.35"
"The square of a number, multiplied by 1, plus 9 times the number, plus 18 equals 0. What is the number?","-6.00000000000000, -3.00000000000000"
"The square of a number, multiplied by 2, plus 9 times the number, plus 4 equals 0. What is the number?","-4.00000000000000, -0.50"
"The square of a number, multiplied by 1, plus 4 times the number, plus 1 equals 0. What is the number?","-3.73, -0.27"
"The square of a number, multiplied by 2, plus 6 times the number, plus 4 equals 0. What is the number?","-2.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 8 times the number, plus 2 equals 0. What is the number?","-7.74, -0.26"
"The square of a number, multiplied by 4, plus 10 times the number, plus 5 equals 0. What is the number?","-1.81, -0.69"
"The square of a number, multiplied by 3, plus 3 times the number, plus 0 equals 0. What is the number?","-1.00000000000000, 0"
"The square of a number, multiplied by 2, plus 9 times the number, plus 1 equals 0. What is the number?","-4.39, -0.11"
"The square of a number, multiplied by 2, plus 10 times the number, plus 0 equals 0. What is the number?","-5.00000000000000, 0"
"The square of a number, multiplied by 4, plus 7 times the number, plus 1 equals 0. What is the number?","-1.59, -0.16"
"The square of a number, multiplied by 2, plus 10 times the number, plus 3 equals 0. What is the number?","-4.68, -0.32"
"The square of a number, multiplied by 5, plus 1 times the number, plus 0 equals 0. What is the number?","-0.20, 0"
"The square of a number, multiplied by 4, plus 6 times the number, plus 0 equals 0. What is the number?","-1.50, 0"
"The square of a number, multiplied by 2, plus 10 times the number, plus 12 equals 0. What is the number?","-3.00000000000000, -2.00000000000000"
"The square of a number, multiplied by 2, plus 9 times the number, plus 8 equals 0. What is the number?","-3.28, -1.22"
"The square of a number, multiplied by 5, plus 4 times the number, plus 0 equals 0. What is the number?","-0.80, 0"
"The square of a number, multiplied by 1, plus 5 times the number, plus 0 equals 0. What is the number?","-5.00000000000000, 0"
"The square of a number, multiplied by 1, plus 5 times the number, plus 2 equals 0. What is the number?","-4.56, -0.44"
"The square of a number, multiplied by 4, plus 9 times the number, plus 4 equals 0. What is the number?","-1.64, -0.61"
"The square of a number, multiplied by 3, plus 6 times the number, plus 0 equals 0. What is the number?","-2.00000000000000, 0"
"The square of a number, multiplied by 5, plus 10 times the number, plus 0 equals 0. What is the number?","-2.00000000000000, 0"
"The square of a number, multiplied by 1, plus 6 times the number, plus 3 equals 0. What is the number?","-5.45, -0.55"
"The square of a number, multiplied by 1, plus 4 times the number, plus 0 equals 0. What is the number?","-4.00000000000000, 0"
"The square of a number, multiplied by 2, plus 10 times the number, plus 3 equals 0. What is the number?","-4.68, -0.32"
"The square of a number, multiplied by 1, plus 6 times the number, plus 6 equals 0. What is the number?","-4.73, -1.27"
"The square of a number, multiplied by 1, plus 9 times the number, plus 11 equals 0. What is the number?","-7.54, -1.46"
"The square of a number, multiplied by 1, plus 9 times the number, plus 16 equals 0. What is the number?","-6.56, -2.44"
"The square of a number, multiplied by 1, plus 5 times the number, plus 0 equals 0. What is the number?","-5.00000000000000, 0"
"The square of a number, multiplied by 3, plus 10 times the number, plus 5 equals 0. What is the number?","-2.72, -0.61"
"The square of a number, multiplied by 3, plus 1 times the number, plus 0 equals 0. What is the number?","-0.33, 0"
"The square of a number, multiplied by 1, plus 9 times the number, plus 6 equals 0. What is the number?","-8.27, -0.73"
"The square of a number, multiplied by 1, plus 7 times the number, plus 11 equals 0. What is the number?","-4.62, -2.38"
"The square of a number, multiplied by 5, plus 9 times the number, plus 2 equals 0. What is the number?","-1.54, -0.26"
"The square of a number, multiplied by 4, plus 4 times the number, plus 0 equals 0. What is the number?","-1.00000000000000, 0"
"The square of a number, multiplied by 4, plus 6 times the number, plus 2 equals 0. What is the number?","-1.00000000000000, -0.50"
"The square of a number, multiplied by 2, plus 10 times the number, plus 1 equals 0. What is the number?","-4.90, -0.10"
"The square of a number, multiplied by 3, plus 6 times the number, plus 3 equals 0. What is the number?",-1.00000000000000
"The square of a number, multiplied by 1, plus 2 times the number, plus 0 equals 0. What is the number?","-2.00000000000000, 0"
"The square of a number, multiplied by 1, plus 10 times the number, plus 17 equals 0. What is the number?","-7.83, -2.17"
"The square of a number, multiplied by 2, plus 8 times the number, plus 0 equals 0. What is the number?","-4.00000000000000, 0"
"The square of a number, multiplied by 1, plus 2 times the number, plus 1 equals 0. What is the number?",-1.00000000000000
"The square of a number, multiplied by 1, plus 7 times the number, plus 2 equals 0. What is the number?","-6.70, -0.30"
"The square of a number, multiplied by 4, plus 6 times the number, plus 0 equals 0. What is the number?","-1.50, 0"
"The square of a number, multiplied by 4, plus 8 times the number, plus 1 equals 0. What is the number?","-1.87, -0.13"
"The square of a number, multiplied by 1, plus 5 times the number, plus 1 equals 0. What is the number?","-4.79, -0.21"
"The square of a number, multiplied by 1, plus 4 times the number, plus 4 equals 0. What is the number?",-2.00000000000000
"The square of a number, multiplied by 4, plus 9 times the number, plus 0 equals 0. What is the number?","-2.25, 0"
"The square of a number, multiplied by 2, plus 5 times the number, plus 0 equals 0. What is the number?","-2.50, 0"
"The square of a number, multiplied by 3, plus 10 times the number, plus 2 equals 0. What is the number?","-3.12, -0.21"
"The square of a number, multiplied by 3, plus 9 times the number, plus 4 equals 0. What is the number?","-2.46, -0.54"
"The square of a number, multiplied by 2, plus 8 times the number, plus 1 equals 0. What is the number?","-3.87, -0.13"
"The square of a number, multiplied by 4, plus 6 times the number, plus 1 equals 0. What is the number?","-1.31, -0.19"
"The square of a number, multiplied by 1, plus 3 times the number, plus 0 equals 0. What is the number?","-3.00000000000000, 0"
"The square of a number, multiplied by 2, plus 6 times the number, plus 2 equals 0. What is the number?","-2.62, -0.38"
"The square of a number, multiplied by 4, plus 6 times the number, plus 1 equals 0. What is the number?","-1.31, -0.19"
"The square of a number, multiplied by 3, plus 10 times the number, plus 2 equals 0. What is the number?","-3.12, -0.21"
"The square of a number, multiplied by 1, plus 7 times the number, plus 3 equals 0. What is the number?","-6.54, -0.46"
"The square of a number, multiplied by 3, plus 9 times the number, plus 1 equals 0. What is the number?","-2.88, -0.12"
"The square of a number, multiplied by 1, plus 4 times the number, plus 3 equals 0. What is the number?","-3.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 3, plus 7 times the number, plus 2 equals 0. What is the number?","-2.00000000000000, -0.33"
"The square of a number, multiplied by 3, plus 7 times the number, plus 2 equals 0. What is the number?","-2.00000000000000, -0.33"
"The square of a number, multiplied by 4, plus 9 times the number, plus 0 equals 0. What is the number?","-2.25, 0"
"The square of a number, multiplied by 5, plus 9 times the number, plus 1 equals 0. What is the number?","-1.68, -0.12"
"The square of a number, multiplied by 1, plus 8 times the number, plus 6 equals 0. What is the number?","-7.16, -0.84"
"The square of a number, multiplied by 1, plus 4 times the number, plus 0 equals 0. What is the number?","-4.00000000000000, 0"
"The square of a number, multiplied by 4, plus 10 times the number, plus 0 equals 0. What is the number?","-2.50, 0"
"The square of a number, multiplied by 5, plus 4 times the number, plus 0 equals 0. What is the number?","-0.80, 0"
"The square of a number, multiplied by 4, plus 10 times the number, plus 1 equals 0. What is the number?","-2.40, -0.10"
"The square of a number, multiplied by 3, plus 8 times the number, plus 0 equals 0. What is the number?","-2.67, 0"
"The square of a number, multiplied by 1, plus 4 times the number, plus 4 equals 0. What is the number?",-2.00000000000000
"The square of a number, multiplied by 4, plus 8 times the number, plus 4 equals 0. What is the number?",-1.00000000000000
"The square of a number, multiplied by 1, plus 6 times the number, plus 9 equals 0. What is the number?",-3.00000000000000
"The square of a number, multiplied by 2, plus 9 times the number, plus 3 equals 0. What is the number?","-4.14, -0.36"
"The square of a number, multiplied by 1, plus 9 times the number, plus 8 equals 0. What is the number?","-8.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 3 times the number, plus 0 equals 0. What is the number?","-3.00000000000000, 0"
"The square of a number, multiplied by 5, plus 10 times the number, plus 0 equals 0. What is the number?","-2.00000000000000, 0"
"The square of a number, multiplied by 1, plus 7 times the number, plus 9 equals 0. What is the number?","-5.30, -1.70"
"The square of a number, multiplied by 2, plus 9 times the number, plus 4 equals 0. What is the number?","-4.00000000000000, -0.50"
"The square of a number, multiplied by 1, plus 9 times the number, plus 8 equals 0. What is the number?","-8.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 5, plus 8 times the number, plus 0 equals 0. What is the number?","-1.60, 0"
"The square of a number, multiplied by 1, plus 7 times the number, plus 4 equals 0. What is the number?","-6.37, -0.63"
"The square of a number, multiplied by 5, plus 6 times the number, plus 1 equals 0. What is the number?","-1.00000000000000, -0.20"
"The square of a number, multiplied by 1, plus 7 times the number, plus 5 equals 0. What is the number?","-6.19, -0.81"
"The square of a number, multiplied by 1, plus 10 times the number, plus 16 equals 0. What is the number?","-8.00000000000000, -2.00000000000000"
"The square of a number, multiplied by 1, plus 10 times the number, plus 4 equals 0. What is the number?","-9.58, -0.42"
"The square of a number, multiplied by 5, plus 2 times the number, plus 0 equals 0. What is the number?","-0.40, 0"
"The square of a number, multiplied by 2, plus 10 times the number, plus 3 equals 0. What is the number?","-4.68, -0.32"
"The square of a number, multiplied by 1, plus 10 times the number, plus 6 equals 0. What is the number?","-9.36, -0.64"
"The square of a number, multiplied by 4, plus 8 times the number, plus 1 equals 0. What is the number?","-1.87, -0.13"
"The square of a number, multiplied by 4, plus 10 times the number, plus 6 equals 0. What is the number?","-1.50, -1.00000000000000"
"The square of a number, multiplied by 1, plus 9 times the number, plus 7 equals 0. What is the number?","-8.14, -0.86"
"The square of a number, multiplied by 2, plus 9 times the number, plus 4 equals 0. What is the number?","-4.00000000000000, -0.50"
"The square of a number, multiplied by 3, plus 8 times the number, plus 3 equals 0. What is the number?","-2.22, -0.45"
"The square of a number, multiplied by 2, plus 8 times the number, plus 2 equals 0. What is the number?","-3.73, -0.27"
"The square of a number, multiplied by 2, plus 6 times the number, plus 3 equals 0. What is the number?","-2.37, -0.63"
"The square of a number, multiplied by 1, plus 6 times the number, plus 4 equals 0. What is the number?","-5.24, -0.76"
"The square of a number, multiplied by 3, plus 10 times the number, plus 8 equals 0. What is the number?","-2.00000000000000, -1.33"
"The square of a number, multiplied by 1, plus 9 times the number, plus 15 equals 0. What is the number?","-6.79, -2.21"
"The square of a number, multiplied by 2, plus 1 times the number, plus 0 equals 0. What is the number?","-0.50, 0"
"The square of a number, multiplied by 2, plus 0 times the number, plus 0 equals 0. What is the number?",0
"The square of a number, multiplied by 4, plus 5 times the number, plus 0 equals 0. What is the number?","-1.25, 0"
"The square of a number, multiplied by 4, plus 9 times the number, plus 3 equals 0. What is the number?","-1.84, -0.41"
"The square of a number, multiplied by 1, plus 7 times the number, plus 7 equals 0. What is the number?","-5.79, -1.21"
"The square of a number, multiplied by 4, plus 10 times the number, plus 5 equals 0. What is the number?","-1.81, -0.69"
"The square of a number, multiplied by 1, plus 7 times the number, plus 11 equals 0. What is the number?","-4.62, -2.38"
"The square of a number, multiplied by 3, plus 7 times the number, plus 4 equals 0. What is the number?","-1.33, -1.00000000000000"
"The square of a number, multiplied by 2, plus 8 times the number, plus 0 equals 0. What is the number?","-4.00000000000000, 0"
"The square of a number, multiplied by 1, plus 10 times the number, plus 6 equals 0. What is the number?","-9.36, -0.64"
"The square of a number, multiplied by 2, plus 9 times the number, plus 5 equals 0. What is the number?","-3.85, -0.65"
"The square of a number, multiplied by 5, plus 9 times the number, plus 4 equals 0. What is the number?","-1.00000000000000, -0.80"
"The square of a number, multiplied by 2, plus 9 times the number, plus 0 equals 0. What is the number?","-4.50, 0"
"The square of a number, multiplied by 4, plus 4 times the number, plus 0 equals 0. What is the number?","-1.00000000000000, 0"
"The square of a number, multiplied by 3, plus 7 times the number, plus 0 equals 0. What is the number?","-2.33, 0"
"The square of a number, multiplied by 3, plus 3 times the number, plus 0 equals 0. What is the number?","-1.00000000000000, 0"
"The square of a number, multiplied by 2, plus 10 times the number, plus 0 equals 0. What is the number?","-5.00000000000000, 0"
"The square of a number, multiplied by 2, plus 2 times the number, plus 0 equals 0. What is the number?","-1.00000000000000, 0"
"The square of a number, multiplied by 2, plus 4 times the number, plus 0 equals 0. What is the number?","-2.00000000000000, 0"
"The square of a number, multiplied by 1, plus 9 times the number, plus 7 equals 0. What is the number?","-8.14, -0.86"
"The square of a number, multiplied by 1, plus 9 times the number, plus 16 equals 0. What is the number?","-6.56, -2.44"
"The square of a number, multiplied by 1, plus 9 times the number, plus 0 equals 0. What is the number?","-9.00000000000000, 0"
"The square of a number, multiplied by 1, plus 9 times the number, plus 0 equals 0. What is the number?","-9.00000000000000, 0"
"The square of a number, multiplied by 5, plus 9 times the number, plus 3 equals 0. What is the number?","-1.36, -0.44"
"The square of a number, multiplied by 2, plus 8 times the number, plus 7 equals 0. What is the number?","-2.71, -1.29"
"The square of a number, multiplied by 1, plus 10 times the number, plus 13 equals 0. What is the number?","-8.46, -1.54"
"The square of a number, multiplied by 1, plus 10 times the number, plus 6 equals 0. What is the number?","-9.36, -0.64"
"The square of a number, multiplied by 1, plus 5 times the number, plus 4 equals 0. What is the number?","-4.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 3, plus 9 times the number, plus 4 equals 0. What is the number?","-2.46, -0.54"
"The square of a number, multiplied by 1, plus 6 times the number, plus 5 equals 0. What is the number?","-5.00000000000000, -1.00000000000000"
