Problem,Solution
eighty seven plus thirteen,one hundred
forty six plus twenty,sixty six
thirty three plus twenty,fifty three
eighty one plus five,eighty six
twenty seven plus fifty eight,eighty five
eighty three plus nineteen,one hundred and two
seventy one plus sixty one,one hundred and thirty two
nineteen plus sixty seven,eighty six
ninety eight plus seventy one,one hundred and sixty nine
forty six plus seventy six,one hundred and twenty two
one plus forty two,forty three
thirty seven plus thirty four,seventy one
sixty one plus three,sixty four
twenty five plus ninety six,one hundred and twenty one
fifty plus sixty eight,one hundred and eighteen
nine plus twenty nine,thirty eight
eight plus ninety one,ninety nine
fourteen plus seventy,eighty four
four plus one hundred,one hundred and four
seventy plus sixty one,one hundred and thirty one
seventy four plus eighty,one hundred and fifty four
forty five plus twenty eight,seventy three
ninety five plus seventy three,one hundred and sixty eight
seventy plus twenty,ninety
twenty six plus forty two,sixty eight
one hundred plus twenty three,one hundred and twenty three
seventy nine plus sixty four,one hundred and forty three
ninety six plus thirty four,one hundred and thirty
forty nine plus one,fifty
one hundred plus thirty nine,one hundred and thirty nine
forty one plus seventy,one hundred and eleven
ten plus ninety five,one hundred and five
forty seven plus ninety nine,one hundred and forty six
seventy six plus thirty four,one hundred and ten
forty four plus fifty,ninety four
eighty seven plus fifty nine,one hundred and forty six
six plus forty two,forty eight
nine plus eighty two,ninety one
seventy eight plus fifty nine,one hundred and thirty seven
seventy eight plus ten,eighty eight
sixty four plus sixty six,one hundred and thirty
sixty seven plus seventy three,one hundred and forty
fourteen plus eighty nine,one hundred and three
seventy plus ninety one,one hundred and sixty one
eighty five plus fifty one,one hundred and thirty six
fifty plus seven,fifty seven
sixty eight plus twelve,eighty
twenty one plus eighty two,one hundred and three
ninety eight plus eighty two,one hundred and eighty
forty plus fifteen,fifty five
seventy eight plus six,eighty four
sixty four plus ten,seventy four
four plus sixty six,seventy
forty five plus fifty two,ninety seven
fifteen plus forty three,fifty eight
thirty two plus seventy nine,one hundred and eleven
ninety five plus eighty nine,one hundred and eighty four
ninety four plus eight,one hundred and two
seventy eight plus twenty one,ninety nine
seventy five plus ten,eighty five
thirty five plus one,thirty six
forty five plus eighty two,one hundred and twenty seven
ninety two plus seventy five,one hundred and sixty seven
sixty plus fifty one,one hundred and eleven
sixty plus eighty two,one hundred and forty two
eleven plus seven,eighteen
thirty plus seventy two,one hundred and two
eighty one plus forty six,one hundred and twenty seven
eighty five plus ninety four,one hundred and seventy nine
seventeen plus ninety one,one hundred and eight
thirty two plus thirty nine,seventy one
eleven plus ninety three,one hundred and four
ninety eight plus thirty six,one hundred and thirty four
four plus sixty nine,seventy three
five plus seventy,seventy five
seventy four plus six,eighty
fifteen plus ten,twenty five
fifty two plus nineteen,seventy one
forty eight plus ninety two,one hundred and forty
eleven plus forty three,fifty four
ninety two plus one hundred,one hundred and ninety two
thirty five plus ninety,one hundred and twenty five
sixty eight plus seventy six,one hundred and forty four
thirty six plus eighty six,one hundred and twenty two
seventy one plus fifty four,one hundred and twenty five
eighty one plus ten,ninety one
sixty five plus eight,seventy three
ninety plus ninety nine,one hundred and eighty nine
forty five plus ten,fifty five
ninety four plus forty eight,one hundred and forty two
ten plus thirty three,forty three
thirty two plus forty two,seventy four
ninety four plus twenty,one hundred and fourteen
twenty one plus fifty four,seventy five
fifty seven plus seventy three,one hundred and thirty
fifty four plus ten,sixty four
eighty seven plus twenty five,one hundred and twelve
fifty eight plus six,sixty four
thirty seven plus sixty two,ninety nine
eighty five plus thirty six,one hundred and twenty one
forty nine plus two,fifty one
seventy two plus forty six,one hundred and eighteen
sixty eight plus eighty one,one hundred and forty nine
seventy three plus eighty,one hundred and fifty three
forty two plus forty six,eighty eight
twenty three plus sixteen,thirty nine
fifty five plus seventy eight,one hundred and thirty three
one plus sixty one,sixty two
eighty three plus nine,ninety two
five plus sixty three,sixty eight
seventy three plus thirty two,one hundred and five
fifty four plus thirty nine,ninety three
two plus sixty,sixty two
sixty six plus fifty six,one hundred and twenty two
eleven plus twenty three,thirty four
seventy six plus twenty nine,one hundred and five
sixty three plus ninety five,one hundred and fifty eight
ninety seven plus thirty three,one hundred and thirty
thirteen plus forty eight,sixty one
eighty plus eighty,one hundred and sixty
two plus seventy nine,eighty one
thirty six plus four,forty
twenty two plus forty,sixty two
seventy four plus three,seventy seven
twenty five plus fifty five,eighty
ninety seven plus thirty nine,one hundred and thirty six
eleven plus seventy five,eighty six
fifty eight plus forty nine,one hundred and seven
twenty one plus eleven,thirty two
twenty four plus fifty seven,eighty one
fourteen plus sixty two,seventy six
ninety seven plus seventy nine,one hundred and seventy six
eighty five plus sixty six,one hundred and fifty one
fifty six plus thirty two,eighty eight
fifteen plus ninety six,one hundred and eleven
ninety nine plus seventy seven,one hundred and seventy six
twenty eight plus eighty eight,one hundred and sixteen
eighty plus fourteen,ninety four
twenty two plus one hundred,one hundred and twenty two
thirty two plus fifty two,eighty four
twenty two plus one,twenty three
nine plus eighty nine,ninety eight
eight plus sixty four,seventy two
eighty plus one hundred,one hundred and eighty
ninety seven plus one hundred,one hundred and ninety seven
ninety one plus thirty three,one hundred and twenty four
forty nine plus ninety two,one hundred and forty one
ninety one plus fifty six,one hundred and forty seven
ten plus fifty seven,sixty seven
thirteen plus sixty four,seventy seven
fifty plus thirty six,eighty six
sixty one plus ninety five,one hundred and fifty six
twenty eight plus nine,thirty seven
ninety four plus eighty eight,one hundred and eighty two
eighteen plus twenty two,forty
thirty seven plus sixty nine,one hundred and six
thirty plus seventy eight,one hundred and eight
eighty seven plus thirty five,one hundred and twenty two
seventy seven plus thirty seven,one hundred and fourteen
three plus fourteen,seventeen
eighty five plus twenty seven,one hundred and twelve
seven plus eighty three,ninety
forty one plus eight,forty nine
fourteen plus seventy eight,ninety two
seventy four plus ninety five,one hundred and sixty nine
seventy four plus twenty eight,one hundred and two
sixty six plus ninety four,one hundred and sixty
ninety three plus thirty six,one hundred and twenty nine
sixty five plus seventy,one hundred and thirty five
twenty six plus ninety six,one hundred and twenty two
twenty three plus eighty,one hundred and three
fifty three plus one,fifty four
forty five plus seventeen,sixty two
twenty two plus nine,thirty one
ninety seven plus twenty five,one hundred and twenty two
seventy six plus eighty four,one hundred and sixty
thirty nine plus fourteen,fifty three
fifteen plus sixteen,thirty one
forty seven plus nine,fifty six
fifty three plus three,fifty six
seventy plus seven,seventy seven
sixty three plus one hundred,one hundred and sixty three
seventy nine plus eighty eight,one hundred and sixty seven
fifty six plus thirty three,eighty nine
forty one plus eighty three,one hundred and twenty four
fifty nine plus ninety eight,one hundred and fifty seven
eighty five plus ninety one,one hundred and seventy six
eighty seven plus ninety four,one hundred and eighty one
ninety two plus fifteen,one hundred and seven
four plus thirty,thirty four
four plus fifteen,nineteen
fifty six plus sixty five,one hundred and twenty one
thirteen plus thirty eight,fifty one
nine plus forty one,fifty
eleven plus fifty five,sixty six
eighty eight plus twenty two,one hundred and ten
sixty one plus eighteen,seventy nine
forty seven plus seven,fifty four
eighty six plus eighty,one hundred and sixty six
fourteen plus nine,twenty three
four plus fifty eight,sixty two
seventy one plus forty eight,one hundred and nineteen
twenty four plus sixty five,eighty nine
one hundred plus forty five,one hundred and forty five
twenty three plus seventy seven,one hundred
thirty four plus fifty one,eighty five
six plus forty eight,fifty four
ninety six plus fifty nine,one hundred and fifty five
nineteen plus eighteen,thirty seven
six plus eighteen,twenty four
eighty eight plus sixty,one hundred and forty eight
twenty eight plus sixteen,forty four
fourteen plus ninety seven,one hundred and eleven
three plus six,nine
eighty two plus fifty nine,one hundred and forty one
seventy eight plus seventeen,ninety five
sixteen plus twenty eight,forty four
thirty four plus sixty six,one hundred
seventy three plus forty seven,one hundred and twenty
fifty four plus eighty six,one hundred and forty
twenty eight plus thirty nine,sixty seven
forty eight plus thirty six,eighty four
one hundred plus eighty,one hundred and eighty
twenty three plus thirty five,fifty eight
thirty three plus sixty six,ninety nine
forty six plus eighteen,sixty four
sixty three plus fifty,one hundred and thirteen
twenty plus ninety two,one hundred and twelve
fifty eight plus seventy one,one hundred and twenty nine
seventy seven plus eighty eight,one hundred and sixty five
seventy eight plus fifty seven,one hundred and thirty five
forty five plus thirty nine,eighty four
twenty eight plus fifty two,eighty
thirty three plus eighteen,fifty one
forty plus eighty eight,one hundred and twenty eight
eighty seven plus ninety,one hundred and seventy seven
eighty three plus ninety six,one hundred and seventy nine
forty three plus twenty four,sixty seven
ninety eight plus four,one hundred and two
eighty two plus eighty one,one hundred and sixty three
seventy five plus eighteen,ninety three
fifteen plus four,nineteen
eighty six plus sixty,one hundred and forty six
sixty six plus eighty seven,one hundred and fifty three
four plus fifty nine,sixty three
sixty two plus twenty one,eighty three
thirteen plus forty six,fifty nine
fifty one plus seventy three,one hundred and twenty four
forty two plus ninety two,one hundred and thirty four
seventy seven plus seventy seven,one hundred and fifty four
one hundred plus eighty seven,one hundred and eighty seven
fifty eight plus fifty four,one hundred and twelve
sixty plus fifty seven,one hundred and seventeen
five plus sixty eight,seventy three
seventy nine plus ninety two,one hundred and seventy one
seventy seven plus fifteen,ninety two
fifty nine plus seventy eight,one hundred and thirty seven
ninety eight plus twenty nine,one hundred and twenty seven
eighty three plus sixty five,one hundred and forty eight
fifty two plus sixty two,one hundred and fourteen
fifty four plus thirty six,ninety
ninety nine plus seven,one hundred and six
one plus ninety four,ninety five
twenty five plus ninety two,one hundred and seventeen
eight plus twenty four,thirty two
eighty four plus forty five,one hundred and twenty nine
ninety three plus ten,one hundred and three
ninety six plus thirty five,one hundred and thirty one
forty one plus sixty seven,one hundred and eight
forty three plus twenty nine,seventy two
forty five plus seventy two,one hundred and seventeen
fifty one plus forty nine,one hundred
thirteen plus seven,twenty
twenty nine plus thirteen,forty two
thirty nine plus forty six,eighty five
ninety plus eighteen,one hundred and eight
eight plus thirty six,forty four
ninety two plus eighty,one hundred and seventy two
eighty plus one,eighty one
twenty nine plus forty two,seventy one
seven plus ninety three,one hundred
twenty five plus thirty one,fifty six
twenty four plus forty six,seventy
fourteen plus three,seventeen
fifty three plus seventy seven,one hundred and thirty
fifty nine plus eight,sixty seven
fifty five plus forty seven,one hundred and two
ninety four plus sixty seven,one hundred and sixty one
seventy plus seventeen,eighty seven
seventy six plus seventy five,one hundred and fifty one
twenty one plus forty seven,sixty eight
eight plus seventy five,eighty three
ninety two plus forty one,one hundred and thirty three
forty eight plus seventy five,one hundred and twenty three
fifty nine plus one,sixty
fifty four plus eighty five,one hundred and thirty nine
thirty three plus ninety five,one hundred and twenty eight
eighty plus nine,eighty nine
nineteen plus fifty one,seventy
ninety three plus four,ninety seven
eight plus seventy six,eighty four
forty three plus ninety eight,one hundred and forty one
ten plus eighty six,ninety six
fifty one plus eight,fifty nine
forty nine plus forty three,ninety two
forty three plus forty two,eighty five
fifteen plus seventy eight,ninety three
fifty eight plus forty,ninety eight
thirty five plus eighty seven,one hundred and twenty two
thirty seven plus three,forty
twenty eight plus eighty nine,one hundred and seventeen
forty five plus sixty seven,one hundred and twelve
seventy three plus eighty six,one hundred and fifty nine
ten plus eighty,ninety
ninety three plus fifty seven,one hundred and fifty
twenty one plus eighteen,thirty nine
eighty five plus ninety five,one hundred and eighty
sixty one plus thirty five,ninety six
fifty seven plus seventy seven,one hundred and thirty four
eighty five plus one,eighty six
sixty nine plus fifty two,one hundred and twenty one
twenty one plus seventy seven,ninety eight
ninety plus nine,ninety nine
ninety four plus ninety eight,one hundred and ninety two
twenty four plus forty seven,seventy one
sixty three plus seventy two,one hundred and thirty five
eighty five plus fifty eight,one hundred and forty three
eighty seven plus sixty,one hundred and forty seven
four plus seventy two,seventy six
thirty eight plus forty,seventy eight
forty six plus forty seven,ninety three
five plus eleven,sixteen
nineteen plus eighty six,one hundred and five
seventy eight plus twenty six,one hundred and four
twenty nine plus seventy,ninety nine
seventy seven plus two,seventy nine
thirty four plus twenty nine,sixty three
eight plus ninety six,one hundred and four
eighty four plus thirty five,one hundred and nineteen
eighteen plus thirty eight,fifty six
two plus twenty five,twenty seven
forty three plus eighty six,one hundred and twenty nine
fifty three plus ninety seven,one hundred and fifty
sixty two plus thirty three,ninety five
six plus eighty nine,ninety five
thirty six plus eighty nine,one hundred and twenty five
two plus seventy four,seventy six
seventy one plus sixty three,one hundred and thirty four
ninety nine plus thirty,one hundred and twenty nine
seventy eight plus ninety eight,one hundred and seventy six
eighty four plus fifty four,one hundred and thirty eight
eighty eight plus ten,ninety eight
thirty one plus seventy seven,one hundred and eight
one plus ninety nine,one hundred
thirty seven plus forty nine,eighty six
sixty seven plus twenty two,eighty nine
fifty six plus eighty seven,one hundred and forty three
ninety four plus twenty one,one hundred and fifteen
seventy seven plus ninety five,one hundred and seventy two
thirteen plus ninety two,one hundred and five
eighty one plus thirteen,ninety four
eight plus thirty nine,forty seven
ninety three plus eighty five,one hundred and seventy eight
sixty two plus eighty,one hundred and forty two
five plus sixty,sixty five
twenty plus sixty five,eighty five
sixty six plus ninety eight,one hundred and sixty four
seventy six plus forty one,one hundred and seventeen
eighty seven plus fifty three,one hundred and forty
ninety two plus eighty three,one hundred and seventy five
eighteen plus seventy one,eighty nine
fifty seven plus thirty four,ninety one
ninety five plus three,ninety eight
ten plus nineteen,twenty nine
ninety three plus forty six,one hundred and thirty nine
ninety five plus fifty one,one hundred and forty six
thirty six plus two,thirty eight
seventy seven plus seventeen,ninety four
fourteen plus eleven,twenty five
thirty seven plus seven,forty four
twenty six plus forty nine,seventy five
thirty four plus twenty seven,sixty one
ninety eight plus fifty six,one hundred and fifty four
twenty nine plus five,thirty four
thirty eight plus ninety two,one hundred and thirty
sixty six plus fifty eight,one hundred and twenty four
eighteen plus eighty seven,one hundred and five
fifty plus ninety three,one hundred and forty three
fifteen plus thirty six,fifty one
twenty plus forty one,sixty one
ten plus fifty one,sixty one
forty six plus ninety six,one hundred and forty two
sixty eight plus eighty four,one hundred and fifty two
thirty seven plus seventy three,one hundred and ten
thirty plus ninety one,one hundred and twenty one
eighty two plus ninety six,one hundred and seventy eight
thirty seven plus one,thirty eight
forty two plus fifty nine,one hundred and one
thirty four plus eighty one,one hundred and fifteen
eleven plus thirteen,twenty four
fifty three plus twenty two,seventy five
eighty three plus forty,one hundred and twenty three
fifty two plus nine,sixty one
twenty five plus sixty nine,ninety four
eleven plus twenty,thirty one
ninety one plus fifty one,one hundred and forty two
eighty nine plus sixty five,one hundred and fifty four
eight plus eighty eight,ninety six
nineteen plus seventy,eighty nine
ninety plus sixty eight,one hundred and fifty eight
forty five plus eighty six,one hundred and thirty one
sixty three plus ninety eight,one hundred and sixty one
six plus forty,forty six
fifty seven plus ninety two,one hundred and forty nine
thirty one plus sixty six,ninety seven
twenty seven plus forty eight,seventy five
seventy nine plus sixty,one hundred and thirty nine
thirty one plus forty five,seventy six
sixteen plus fifty two,sixty eight
seventy plus eight,seventy eight
seventy three plus forty five,one hundred and eighteen
seventy eight plus sixty eight,one hundred and forty six
twelve plus thirty three,forty five
twenty three plus forty four,sixty seven
ninety eight plus thirty one,one hundred and twenty nine
forty eight plus nineteen,sixty seven
sixty four plus seventy seven,one hundred and forty one
seventy two plus thirty three,one hundred and five
eighty nine plus ninety seven,one hundred and eighty six
seventy nine plus twenty,ninety nine
thirty eight plus fifty seven,ninety five
fourteen plus eighty four,ninety eight
eleven plus forty eight,fifty nine
twenty four plus sixty,eighty four
thirty seven plus fifty,eighty seven
seven plus twenty three,thirty
thirty one plus eighty three,one hundred and fourteen
ninety five plus six,one hundred and one
ninety seven plus thirty four,one hundred and thirty one
thirty four plus forty three,seventy seven
seventy nine plus sixty six,one hundred and forty five
seventy four plus sixty five,one hundred and thirty nine
seventy eight plus fifty five,one hundred and thirty three
nine plus twenty four,thirty three
eighty one plus seventy eight,one hundred and fifty nine
sixty plus sixty five,one hundred and twenty five
seventy two plus fifty three,one hundred and twenty five
eleven plus twenty five,thirty six
twenty two plus eighty two,one hundred and four
twenty four plus eighty six,one hundred and ten
seventy plus eighty four,one hundred and fifty four
eighty nine plus ninety,one hundred and seventy nine
six plus sixty nine,seventy five
eighty nine plus eighty one,one hundred and seventy
twenty eight plus twenty one,forty nine
thirty plus twenty five,fifty five
twenty nine plus sixty six,ninety five
sixteen plus seventy four,ninety
fifty six plus seventy five,one hundred and thirty one
fifty one plus seventy,one hundred and twenty one
fourteen plus fifty two,sixty six
twenty three plus fifty four,seventy seven
twelve plus ninety seven,one hundred and nine
eleven plus forty seven,fifty eight
eighteen plus fifty seven,seventy five
fourteen plus fifty eight,seventy two
thirty eight plus forty five,eighty three
twenty three plus fifty six,seventy nine
sixty eight plus fourteen,eighty two
eighty four plus nineteen,one hundred and three
forty one plus twenty eight,sixty nine
fifteen plus three,eighteen
forty two plus twenty,sixty two
ninety seven plus thirty,one hundred and twenty seven
forty one plus ninety nine,one hundred and forty
fifty five plus twenty,seventy five
six plus six,twelve
sixteen plus forty five,sixty one
fifty six plus seventeen,seventy three
fifty four plus sixteen,seventy
eighty one plus forty one,one hundred and twenty two
eighty eight plus thirty nine,one hundred and twenty seven
six plus fifty four,sixty
seven plus thirty six,forty three
ninety seven plus eighty six,one hundred and eighty three
eighty two plus eighty six,one hundred and sixty eight
thirteen plus fifty four,sixty seven
two plus thirty five,thirty seven
forty two plus seventy five,one hundred and seventeen
two plus thirty three,thirty five
thirty plus sixty one,ninety one
thirty plus fifty six,eighty six
forty one plus nine,fifty
ninety three plus fifty nine,one hundred and fifty two
eighty one plus fifty nine,one hundred and forty
fifty one plus twelve,sixty three
forty nine plus thirty five,eighty four
ninety plus one hundred,one hundred and ninety
fifty four plus twenty three,seventy seven
seventy six plus one hundred,one hundred and seventy six
ninety two plus thirty five,one hundred and twenty seven
seventy two plus sixty eight,one hundred and forty
ninety one plus eleven,one hundred and two
thirty one plus fifteen,forty six
sixty two plus fifty one,one hundred and thirteen
sixty six plus twenty seven,ninety three
forty two plus forty,eighty two
fifty six plus ninety two,one hundred and forty eight
seventy nine plus forty three,one hundred and twenty two
fourteen plus seventy four,eighty eight
seventy nine plus thirty one,one hundred and ten
sixty eight plus thirty four,one hundred and two
eighty six plus ninety seven,one hundred and eighty three
eighty nine plus forty eight,one hundred and thirty seven
forty seven plus twenty two,sixty nine
seventy nine plus sixty two,one hundred and forty one
twenty seven plus twenty one,forty eight
twenty seven plus thirty eight,sixty five
fifty plus seventy nine,one hundred and twenty nine
three plus eight,eleven
forty four plus eighty six,one hundred and thirty
fifty two plus fifty three,one hundred and five
seventy eight plus seventy one,one hundred and forty nine
fifty plus one hundred,one hundred and fifty
sixty six plus forty five,one hundred and eleven
twenty seven plus fifty seven,eighty four
seventy five plus eighty two,one hundred and fifty seven
fifty one plus seven,fifty eight
eighty nine plus two,ninety one
seventy nine plus forty seven,one hundred and twenty six
three plus forty,forty three
sixty five plus ninety six,one hundred and sixty one
sixty five plus seventeen,eighty two
ninety four plus eighty two,one hundred and seventy six
fifty nine plus twenty nine,eighty eight
eighty three plus twenty seven,one hundred and ten
sixty one plus fifty two,one hundred and thirteen
forty plus forty seven,eighty seven
eighty eight plus eight,ninety six
twenty three plus seventy one,ninety four
seventy nine plus thirty four,one hundred and thirteen
eighty six plus thirty five,one hundred and twenty one
forty nine plus sixty one,one hundred and ten
seventy eight plus three,eighty one
fifteen plus eighty eight,one hundred and three
seventy three plus seventy eight,one hundred and fifty one
twenty six plus thirty eight,sixty four
ninety two plus eighteen,one hundred and ten
eleven plus fifty two,sixty three
seventy two plus ninety nine,one hundred and seventy one
twenty plus twenty nine,forty nine
seventeen plus eighty nine,one hundred and six
eighty four plus eighty six,one hundred and seventy
twenty three plus ninety four,one hundred and seventeen
eleven plus three,fourteen
twenty seven plus sixty two,eighty nine
sixty one plus thirty four,ninety five
sixty seven plus seventy one,one hundred and thirty eight
thirty seven plus ninety four,one hundred and thirty one
thirty two plus eight,forty
seventy six plus twenty four,one hundred
forty eight plus twenty one,sixty nine
ninety five plus twenty three,one hundred and eighteen
sixteen plus seventy three,eighty nine
two plus forty,forty two
sixty seven plus seventy eight,one hundred and forty five
eighty plus nineteen,ninety nine
eighty five plus eighty seven,one hundred and seventy two
sixty two plus fifty four,one hundred and sixteen
seventy one plus fifty three,one hundred and twenty four
fifty nine plus eighty six,one hundred and forty five
thirty three plus forty one,seventy four
thirty five plus thirty five,seventy
three plus sixty five,sixty eight
sixty one plus sixteen,seventy seven
five plus eighty five,ninety
six plus nineteen,twenty five
thirty eight plus ninety seven,one hundred and thirty five
forty six plus sixty four,one hundred and ten
twenty eight plus sixty one,eighty nine
forty plus thirty six,seventy six
thirty two plus fifty six,eighty eight
eighty two plus twenty three,one hundred and five
one plus sixty nine,seventy
fifty four plus forty five,ninety nine
one plus seventy seven,seventy eight
six plus two,eight
eighty eight plus forty one,one hundred and twenty nine
forty six plus ninety one,one hundred and thirty seven
thirty six plus fifty,eighty six
forty five plus seven,fifty two
eight plus forty two,fifty
twenty four plus two,twenty six
eight plus seventy,seventy eight
eighty nine plus forty six,one hundred and thirty five
ninety four plus one,ninety five
eighty seven plus forty six,one hundred and thirty three
eighty plus seventy eight,one hundred and fifty eight
thirty six plus forty seven,eighty three
fifteen plus ninety four,one hundred and nine
forty nine plus seventy seven,one hundred and twenty six
one plus forty nine,fifty
thirty five plus twenty seven,sixty two
sixty nine plus eighty three,one hundred and fifty two
fifty four plus forty nine,one hundred and three
sixty four plus two,sixty six
thirty eight plus ninety nine,one hundred and thirty seven
nine plus eleven,twenty
thirty plus fifty seven,eighty seven
forty two plus two,forty four
thirty three plus twenty eight,sixty one
one hundred plus eleven,one hundred and eleven
forty eight plus forty five,ninety three
nineteen plus sixty eight,eighty seven
sixty plus fifty,one hundred and ten
seventy six plus thirty six,one hundred and twelve
eight plus eighty,eighty eight
thirty one plus eighteen,forty nine
sixty one plus ninety four,one hundred and fifty five
eighty three plus one hundred,one hundred and eighty three
eighty two plus ninety three,one hundred and seventy five
seventy four plus thirty eight,one hundred and twelve
eighty nine plus fifty three,one hundred and forty two
twenty nine plus twenty eight,fifty seven
thirty plus thirteen,forty three
ninety nine plus sixty nine,one hundred and sixty eight
twenty nine plus eight,thirty seven
seventy six plus ninety eight,one hundred and seventy four
thirty nine plus eighty seven,one hundred and twenty six
eighty three plus forty two,one hundred and twenty five
fifty one plus sixty two,one hundred and thirteen
thirty four plus twenty five,fifty nine
eighty plus ninety,one hundred and seventy
two plus forty four,forty six
ninety two plus sixty six,one hundred and fifty eight
sixty one plus thirty one,ninety two
twenty five plus thirty five,sixty
fifty seven plus eighty eight,one hundred and forty five
thirty eight plus seventeen,fifty five
forty four plus thirty five,seventy nine
eighty plus seventy seven,one hundred and fifty seven
three plus seven,ten
fifty two plus ten,sixty two
